"","Species","Common_name","Begin_study_date","End_study_date","Life_history_process","sex","Fucntional_form","Value","Units","Parameter_name","Sample_size","Method","Large_marine_ecosystem","More_specific_location","Reference"
"284","Trichiurus lepturus","Largehead hairtail",1995,2007,"weight at length","both","power function",8e-06,"NA","a","5831","NA","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"285","Trichiurus lepturus","Largehead hairtail",1995,2007,"weight at length","both","power function",3.1225,"NA","b","5831","NA","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"286","Trichiurus lepturus","Largehead hairtail",2005,2007,"growth","both","von Bertalanffy",497.9,"mm","Linf","NA","Walford","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"287","Trichiurus lepturus","Largehead hairtail",2005,2007,"growth","both","von Bertalanffy",0.332,"NA","k","NA","Walford","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"288","Trichiurus lepturus","Largehead hairtail",2005,2007,"growth","both","von Bertalanffy",-0.465,"NA","t0","NA","Walford","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"289","Trichiurus lepturus","Largehead hairtail",1995,2007,"total mortality","both","NA",3.148,"NA","Z","5831","length-converted catch curve","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"290","Trichiurus lepturus","Largehead hairtail",1995,2007,"fishing mortality","both","NA",2.71,"NA","F","5831","NA","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"291","Trichiurus lepturus","Largehead hairtail",1961,1978,"natural mortality","both","NA",0.44,"NA","M","NA","NA","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"292","Trichiurus lepturus","Largehead hairtail",1995,2007,"exploitation rate","both","NA",0.86,"NA","E","5831","NA","East China Sea","NA","Wang Y 2010 The Resource Evaluation of Trichiurus Japonicus on East China Sea in Summer Close Season. Dissertation for Master's Degree Submitted to Zhejiang Ocean University."
"293","Trichiurus lepturus","Largehead hairtail",1963,1963,"weight at length","both","power function",3.08e-05,"NA","a","198","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"294","Trichiurus lepturus","Largehead hairtail",1963,1963,"weight at length","both","power function",2.8568,"NA","b","198","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"295","Trichiurus lepturus","Largehead hairtail",1957,1957,"weight at length","both","power function",8e-06,"NA","a","2113","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"296","Trichiurus lepturus","Largehead hairtail",1957,1957,"weight at length","both","power function",2.8808,"NA","b","2113","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"297","Trichiurus lepturus","Largehead hairtail",1960,1963,"growth","both","von Bertalanffy",559.1,"mm","Linf","1283","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"298","Trichiurus lepturus","Largehead hairtail",1960,1963,"growth","both","von Bertalanffy",0.274,"NA","k","1283","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"299","Trichiurus lepturus","Largehead hairtail",1960,1963,"growth","both","von Bertalanffy",-0.87,"NA","t0","1283","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"300","Trichiurus lepturus","Largehead hairtail",1960,1963,"growth","both","von Bertalanffy",2176,"g","Winf","1283","NA","East China Sea","Zhejiang Province Off-Shore Fishing Grounds","Wu JZ 1985 Age and Growth of Trichiurus Lepturus on the Off-shore Fishing Ground of Zhejiang Province. Journal of Zhejiang College of Fisheries 4(2). "
"301","Trichiurus lepturus","Largehead hairtail",1961,1966,"total mortality","both","NA",1.45,"NA","Z","NA","NA","East China Sea","NA","Wu JZ 1985 A Preliminary Resource Evaluation on the Fish Trichiurus haumela in East China Sea. Journal of Zhejiang College of Fisheries 4(2)."
"302","Trichiurus lepturus","Largehead hairtail",1975,1978,"total mortality","both","NA",2.53,"NA","Z","NA","NA","East China Sea","NA","Wu JZ 1985 A Preliminary Resource Evaluation on the Fish Trichiurus haumela in East China Sea. Journal of Zhejiang College of Fisheries 4(2)."
"303","Trichiurus lepturus","Largehead hairtail",1961,1978,"natural mortality","both","NA",0.44,"NA","M","NA","NA","East China Sea","NA","Wu JZ 1985 A Preliminary Resource Evaluation on the Fish Trichiurus haumela in East China Sea. Journal of Zhejiang College of Fisheries 4(2)."
"304","Trichiurus lepturus","Largehead hairtail",1961,1966,"fishing mortality","both","NA",1.01,"NA","F","NA","NA","East China Sea","NA","Wu JZ 1985 A Preliminary Resource Evaluation on the Fish Trichiurus haumela in East China Sea. Journal of Zhejiang College of Fisheries 4(2)."
"305","Trichiurus lepturus","Largehead hairtail",1975,1978,"fishing mortality","both","NA",2.09,"NA","F","NA","NA","East China Sea","NA","Wu JZ 1985 A Preliminary Resource Evaluation on the Fish Trichiurus haumela in East China Sea. Journal of Zhejiang College of Fisheries 4(2)."
"306","Trichiurus lepturus","Largehead hairtail",2002,2004,"weight at length","both","power function",1e-05,"NA","a","748","NA","East China Sea","27°~34°N, west of 126°E","Yan LP et al 2005 Age and Growth of Trichiurus haumela in the East China Sea. Marine Fisheries 27(2)."
"307","Trichiurus lepturus","Largehead hairtail",2002,2004,"weight at length","both","power function",3.006,"NA","b","748","NA","East China Sea","27°~34°N, west of 126°E","Yan LP et al 2005 Age and Growth of Trichiurus haumela in the East China Sea. Marine Fisheries 27(2)."
"308","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",7.89e-05,"NA","a","1880","NA","East China Sea","East Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"309","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",2.6087,"NA","b","1880","NA","East China Sea","East Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"310","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",0.000105,"NA","a","816","NA","East China Sea","Central Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"311","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",2.6686,"NA","b","816","NA","East China Sea","Central Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"312","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",0.000219,"NA","a","404","NA","East China Sea","South Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"313","Trichiurus lepturus","Largehead hairtail",2000,2002,"weight at length","both","power function",2.5291,"NA","b","404","NA","East China Sea","South Fujian","Yan YM 2005 Study on the biology and resource variation of hairtail Trichiurus haumela (Forskal) in Fujian sea area. South China Fisheries Science 1(3)."
"314","Trichiurus lepturus","Largehead hairtail",2002,2003,"total mortality","both","NA",3.05,"NA","Z","NA","NA","East China Sea","NA","Yan LP et al 2007 The Effect of Summer Closed Fishing and the Reasonable Utilization on Hairtail (Trichiurus japonicus) Resources in the East China Sea Region. Journal of Natural Resources 22(4)."
"315","Trichiurus lepturus","Largehead hairtail",2002,2003,"natural mortality","both","NA",0.44,"NA","M","NA","NA","East China Sea","NA","Yan LP et al 2007 The Effect of Summer Closed Fishing and the Reasonable Utilization on Hairtail (Trichiurus japonicus) Resources in the East China Sea Region. Journal of Natural Resources 22(4)."
"316","Trichiurus lepturus","Largehead hairtail",2002,2003,"fishing mortality","both","NA",2.61,"NA","F","NA","NA","East China Sea","NA","Yan LP et al 2007 The Effect of Summer Closed Fishing and the Reasonable Utilization on Hairtail (Trichiurus japonicus) Resources in the East China Sea Region. Journal of Natural Resources 22(4)."
"317","Trichiurus lepturus","Largehead hairtail",2002,2003,"exploitation rate","both","NA",0.86,"NA","E","NA","NA","East China Sea","NA","Yan LP et al 2007 The Effect of Summer Closed Fishing and the Reasonable Utilization on Hairtail (Trichiurus japonicus) Resources in the East China Sea Region. Journal of Natural Resources 22(4)."
"318","Trichiurus lepturus","Largehead hairtail",1994,1995,"weight at length","both","power function",0.00012,"NA","a","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"319","Trichiurus lepturus","Largehead hairtail",1994,1995,"weight at length","both","power function",2.6089,"NA","b","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"320","Trichiurus lepturus","Largehead hairtail",1994,1995,"growth","both","von Bertalanffy",856.34,"mm","Linf","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"321","Trichiurus lepturus","Largehead hairtail",1994,1995,"growth","both","von Bertalanffy",0.1126,"NA","k","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"322","Trichiurus lepturus","Largehead hairtail",1994,1995,"growth","both","von Bertalanffy",-1.4625,"NA","t0","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"323","Trichiurus lepturus","Largehead hairtail",1994,1995,"growth","both","von Bertalanffy",5375.9,"g","Winf","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"324","Trichiurus lepturus","Largehead hairtail",1994,1995,"total mortality","both","NA",1.1132,"NA","Z","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"325","Trichiurus lepturus","Largehead hairtail",1994,1995,"natural mortality","both","NA",0.3681,"NA","M","1005","NA","East China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"326","Trichiurus lepturus","Largehead hairtail",1994,1995,"fishing mortality","both","NA",0.7451,"NA","F","1005","NA","South China Sea","NA","Zhang ZL et al 1998 Study on Fisheries Biology of Trichiurus nanhaiensis in the Adjacent Waters of Taiwan Bank. Journal of Fujian Fisheries 3."
"327","Trichiurus lepturus","Largehead hairtail",1990,1992,"weight at length","both","power function",3.22e-05,"NA","a","5195","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"328","Trichiurus lepturus","Largehead hairtail",1990,1992,"weight at length","both","power function",2.86232,"NA","b","5195","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"329","Trichiurus lepturus","Largehead hairtail",1997,1999,"weight at length","both","power function",3.45e-05,"NA","a","4864","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"330","Trichiurus lepturus","Largehead hairtail",1997,1999,"weight at length","both","power function",2.84865,"NA","b","4864","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"331","Trichiurus lepturus","Largehead hairtail",1990,2000,"growth","both","von Bertalanffy",507.8,"mm","Linf","NA","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"332","Trichiurus lepturus","Largehead hairtail",1990,2000,"growth","both","von Bertalanffy",0.313,"NA","k","NA","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"333","Trichiurus lepturus","Largehead hairtail",1990,2000,"growth","both","von Bertalanffy",-0.599,"NA","t0","NA","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"334","Trichiurus lepturus","Largehead hairtail",1990,2000,"growth","both","von Bertalanffy",1892,"g","Winf","NA","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"335","Trichiurus lepturus","Largehead hairtail",1990,2000,"growth","both","von Bertalanffy",2.8802,"NA","b","NA","NA","East China Sea","NA","Zhou YD et al 2002 A Study on Variation of Stock Structure of Hairtail Trichiurus haumela in the East China Sea. Journal of Zhejiang Ocean University (Natural Science) 21(4)."
"336","Trichiurus lepturus","Largehead hairtail",1980,1983,"weight at length","both","power function",2.44e-05,"NA","a","1940","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"337","Trichiurus lepturus","Largehead hairtail",1980,1983,"weight at length","both","power function",2.9122,"NA","b","1940","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"338","Trichiurus lepturus","Largehead hairtail",1980,1982,"weight at length","both","power function",3.87e-05,"NA","a","2339","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"339","Trichiurus lepturus","Largehead hairtail",1980,1982,"weight at length","both","power function",2.8361,"NA","b","2339","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"340","Trichiurus lepturus","Largehead hairtail",1985,1985,"growth","both","von Bertalanffy",553.5,"mm","Linf","NA","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"341","Trichiurus lepturus","Largehead hairtail",1985,1985,"growth","both","von Bertalanffy",0.3125,"NA","k","NA","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"342","Trichiurus lepturus","Largehead hairtail",1985,1985,"growth","both","von Bertalanffy",-0.74,"NA","t0","NA","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"343","Trichiurus lepturus","Largehead hairtail",1985,1985,"growth","both","von Bertalanffy",2448,"g","Winf","NA","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"344","Trichiurus lepturus","Largehead hairtail",1985,1985,"growth","both","von Bertalanffy",2.881,"NA","b","NA","NA","East China Sea","NA","Zhu DL 1990 <U+4E1C><U+6D77><U+7FA4><U+7CFB><U+5E26><U+9C7C><U+8D44><U+6E90><U+53D8><U+52A8><U+548C><U+7BA1><U+7406><U+6280><U+672F><U+7684><U+7814><U+7A76>"
"345","Larimichthys polyactis","Small yellow croaker",1960,1960,"growth","both","von Bertalanffy",339.4,"mm","Linf","833","Ford-Walford","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"346","Larimichthys polyactis","Small yellow croaker",1960,1960,"growth","both","von Bertalanffy",0.281,"NA","k","833","Ford-Walford","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"347","Larimichthys polyactis","Small yellow croaker",1960,1960,"growth","both","von Bertalanffy",-0.61,"NA","t0","833","Ford-Walford","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"348","Larimichthys polyactis","Small yellow croaker",1960,1960,"growth","both","von Bertalanffy",606.2,"g","Winf","833","Ford-Walford","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"349","Larimichthys polyactis","Small yellow croaker",1982,1982,"growth","both","von Bertalanffy",302.9,"mm","Linf","736","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"350","Larimichthys polyactis","Small yellow croaker",1982,1982,"growth","both","von Bertalanffy",0.325,"NA","k","736","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"351","Larimichthys polyactis","Small yellow croaker",1982,1982,"growth","both","von Bertalanffy",-0.41,"NA","t0","736","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"352","Larimichthys polyactis","Small yellow croaker",1982,1982,"growth","both","von Bertalanffy",464.6,"g","Winf","736","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"353","Larimichthys polyactis","Small yellow croaker",1992,1993,"growth","both","von Bertalanffy",275.4,"mm","Linf","1046","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"354","Larimichthys polyactis","Small yellow croaker",1992,1993,"growth","both","von Bertalanffy",0.46,"NA","k","1046","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"355","Larimichthys polyactis","Small yellow croaker",1992,1993,"growth","both","von Bertalanffy",-0.5,"NA","t0","1046","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"356","Larimichthys polyactis","Small yellow croaker",1992,1993,"growth","both","von Bertalanffy",321.9,"g","Winf","1046","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"357","Larimichthys polyactis","Small yellow croaker",2003,2004,"growth","both","von Bertalanffy",245,"mm","Linf","699","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"358","Larimichthys polyactis","Small yellow croaker",2003,2004,"growth","both","von Bertalanffy",0.498,"NA","k","699","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"359","Larimichthys polyactis","Small yellow croaker",2003,2004,"growth","both","von Bertalanffy",-0.28,"NA","t0","699","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"360","Larimichthys polyactis","Small yellow croaker",2003,2004,"growth","both","von Bertalanffy",227.2,"g","Winf","699","ELEFAN I","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"361","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","both","power function",1.19e-05,"NA","a","833","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"362","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","both","power function",3.046,"NA","b","833","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"363","Larimichthys polyactis","Small yellow croaker",1982,1982,"weight at length","both","power function",1.32e-05,"NA","a","461","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"364","Larimichthys polyactis","Small yellow croaker",1982,1982,"weight at length","both","power function",3.042,"NA","b","461","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"365","Larimichthys polyactis","Small yellow croaker",1993,1993,"weight at length","both","power function",1.67e-05,"NA","a","604","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"366","Larimichthys polyactis","Small yellow croaker",1993,1993,"weight at length","both","power function",2.986,"NA","b","604","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"367","Larimichthys polyactis","Small yellow croaker",2003,2003,"weight at length","both","power function",3.35e-05,"NA","a","405","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"368","Larimichthys polyactis","Small yellow croaker",2003,2003,"weight at length","both","power function",2.836,"NA","b","405","NA","Bohai","NA","Guo XP et al 2006 Growth variations of small yellow croaker (Pseudosciaena polyactis Bleeker) in the Bohai Sea. Journal of Fishery Sciences of China 13(2)."
"369","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","male","power function",2.44e-05,"NA","a","123","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"370","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","male","power function",2.89,"NA","b","123","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"371","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","female","power function",2.22e-05,"NA","a","141","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"372","Larimichthys polyactis","Small yellow croaker",1960,1960,"weight at length","female","power function",2.93,"NA","b","141","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"373","Larimichthys polyactis","Small yellow croaker",1982,1982,"weight at length","male","power function",1.37e-05,"NA","a","37","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"374","Larimichthys polyactis","Small yellow croaker",1982,1982,"weight at length","male","power function",3.06,"NA","b","37","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
"375","Larimichthys polyactis","Small yellow croaker",1982,1982,"weight at length","female","power function",1.46e-05,"NA","a","36","NA","Yellow Sea","northern Yellow Sea and Bohai","Li ZL et al 2011 Inter-annual changes on body weight-length relationship and relative fatness of small yellow croaker (Larimichthys polyactis). Journal of Fishery Sciences of China 18(3)."
